"oppcall","timespan","laghome","goaldiff","inrow2"
0,5.133333,0,1,0
1,7.166667,0,2,0
0,1.966667,0,-1,1
1,2.75,1,4,1
0,4.283333,0,-1,0
1,7.116667,0,1,0
1,17.85,1,0,0
1,8.933333,1,0,1
0,12.81667,1,2,1
1,3.083333,1,0,0
0,5.916667,0,-1,0
1,13.55,1,0,0
0,5.866667,0,4,0
1,6.45,0,1,1
0,4.383333,1,3,0
1,8.65,1,0,1
0,2.15,1,4,0
1,2.583333,1,1,0
0,4.05,1,2,0
1,0.1833333,0,0,1
1,5.3,1,1,1
0,3.7,0,0,1
0,0.8833333,1,-1,1
1,8.633333,0,-1,0
0,11.58333,0,4,1
1,2.8,1,-2,1
1,8.9,0,2,0
1,13.46667,1,-1,0
1,4.516667,1,-6,0
0,13.65,0,1,1
1,13.96667,1,1,0
0,6.216667,1,0,0
1,0.5166667,0,-1,0
1,2.533333,1,-4,0
1,4.433333,0,-2,0
1,16.88333,0,2,0
1,1.166667,1,0,0
1,18.21667,1,-2,0
0,7.25,0,3,0
1,5.8,0,-1,0
1,8.916667,0,1,0
1,2.3,1,-3,1
0,10.3,1,-1,1
1,2.15,0,0,0
1,4.1,0,-1,0
1,6.116667,0,-3,1
1,1.383333,0,-1,1
1,2.133333,0,1,0
0,6.5,1,-1,0
0,12.55,0,-1,1
0,5.716667,1,-1,0
1,4.316667,1,-3,1
1,1.883333,0,0,1
1,7.25,0,1,1
1,0.8833333,0,-1,0
1,3.1,1,-1,0
1,6.716667,0,1,0
0,4.3,1,0,0
1,0.4,0,0,0
1,11.7,0,0,1
0,2.333333,0,-2,0
0,5.2,1,0,0
1,4.9,1,-1,1
1,6.55,0,0,1
0,3.4,0,0,1
1,9.433333,0,0,0
1,6.916667,1,0,0
1,3.566667,0,0,0
1,4.25,0,0,0
1,10.85,0,1,1
1,1.5,1,0,1
1,15.05,1,1,0
1,0.2333333,0,-1,0
0,3.3,0,0,0
0,2.133333,1,3,1
1,4.983333,1,0,0
1,6.333333,1,-1,0
0,20.93333,0,-3,0
1,0.4833333,0,-1,0
1,1.1,1,-1,1
0,3.983333,0,-1,0
1,5.15,0,1,0
1,2.95,0,-1,0
0,2.416667,1,-1,1
1,7.466667,1,0,1
1,0.5833333,1,0,0
0,5.566667,0,0,0
1,2.416667,1,-2,0
1,23.2,1,2,0
1,4.116667,1,0,1
1,0.9333333,1,-1,0
1,3.216667,0,1,0
0,8.85,1,0,1
0,7.533333,0,-3,0
0,5.933333,0,3,0
1,3.666667,1,0,0
1,2.283333,1,-1,0
0,7.95,1,1,0
0,3.833333,0,-2,0
1,4.233333,1,0,0
0,5.416667,1,1,0
1,5.133333,0,1,0
0,2.366667,0,-3,0
0,4.483333,1,1,0
1,3.733333,0,-1,0
1,5.166667,1,2,1
0,2.666667,1,0,0
0,2.833333,1,-4,0
1,4.35,1,-1,0
1,0.6,1,0,1
0,4.066667,0,3,0
0,3.433333,0,3,0
1,8.2,0,1,1
0,8.35,1,-1,0
1,5.666667,0,0,0
0,10.21667,1,-3,0
1,3.916667,1,0,1
0,1.95,1,0,0
1,3.766667,0,-2,1
0,6.3,0,-1,0
1,3.3,0,-1,1
1,6.266667,1,-1,0
1,8.4,1,0,0
0,10.96667,0,1,0
1,5.15,0,0,1
0,9.583333,1,2,1
0,5.533333,0,-1,0
1,1.583333,1,3,0
0,3.266667,1,0,0
1,1.65,1,2,0
1,9.833333,0,-1,1
1,2.75,1,0,0
0,1.166667,1,0,0
1,1.183333,1,0,0
0,6.7,1,1,0
1,1.683333,0,-1,0
1,9.55,0,-1,0
1,5.016667,1,-1,0
0,2.5,1,-1,0
0,4.166667,0,2,0
1,1.016667,1,1,1
1,9.95,0,-2,0
0,8.75,1,-1,0
0,5.783333,0,0,0
0,12.55,0,1,0
1,8.15,1,-2,1
1,7.316667,1,0,0
1,14.41667,0,-3,1
1,3.416667,0,-3,1
1,1.483333,0,1,0
0,7.183333,1,2,0
1,2.983333,0,-2,0
0,9.033333,1,-2,1
0,5.766667,0,-3,0
1,2.766667,0,1,0
1,1.583333,0,-3,1
0,0.7666667,1,-1,0
1,8.733333,0,-3,1
1,2.916667,0,0,0
0,10.36667,1,0,0
0,2.9,1,3,0
1,1.766667,1,1,0
0,13.88333,0,0,0
1,2.433333,1,1,0
1,1.433333,1,1,0
0,4.45,1,-1,0
1,6.533333,1,-1,1
1,2.183333,1,-3,1
0,21.33333,0,1,0
1,12.03333,0,1,0
0,5.15,1,0,0
1,3.066667,0,0,0
0,5.466667,0,2,1
1,2.95,0,0,1
1,3.166667,0,-2,1
1,2.3,0,2,1
1,10.78333,0,-1,1
0,3.1,1,3,0
1,1,1,0,0
1,6.216667,0,0,1
0,5.916667,1,1,0
0,6.5,0,0,0
0,3.5,0,4,1
1,5.966667,1,0,0
1,3.283333,1,1,1
1,2.4,1,0,1
0,18.7,1,1,0
1,0.4,0,0,0
0,4.216667,0,0,0
1,3.75,0,0,0
1,7.483333,1,1,1
0,4.85,1,-3,1
1,0.8,1,2,0
1,2.75,0,-1,1
0,6.966667,1,0,1
1,3.7,0,-1,0
1,12.46667,0,-2,1
0,5.766667,1,1,0
1,3.95,0,-1,0
1,23.8,1,1,0
1,7.066667,1,0,0
1,1.416667,0,-1,1
1,2.583333,1,1,0
1,6.166667,1,0,0
1,6.033333,0,0,0
0,13.95,1,0,0
1,18.25,1,3,1
0,7,1,2,0
1,12.7,0,-4,0
1,6.95,0,0,0
1,3.666667,0,-1,1
0,1.816667,0,0,0
0,5.883333,0,1,0
0,2.716667,1,0,1
0,9.816667,1,0,1
0,1.333333,1,1,0
1,2.65,0,-1,1
1,0.4333333,1,0,0
1,4.433333,0,3,0
0,6.516667,1,-3,0
0,9.833333,0,-4,1
0,6.016667,1,1,1
1,7.35,0,-2,1
0,3.666667,1,2,0
0,17.48333,1,1,0
0,18.46667,0,0,0
0,7.15,1,2,0
0,1.383333,1,-1,0
1,4.3,1,-3,1
1,3.916667,0,0,0
1,3.716667,1,0,1
1,4.35,1,1,0
0,2.333333,0,2,0
1,0.4333333,1,8,1
1,2.366667,1,1,1
1,4.366667,1,0,0
0,15.3,0,-1,0
1,3.883333,1,-1,1
0,1.166667,0,1,0
1,1.533333,0,1,1
1,1.616667,1,1,0
1,3.35,1,0,0
0,4.483333,0,2,0
0,2.916667,0,2,0
1,1,1,2,0
0,1.266667,0,-1,0
1,2.416667,1,-1,1
0,6.266667,0,2,0
1,2.666667,0,1,1
0,7.716667,0,0,0
1,3.033333,1,1,0
1,1.35,0,0,0
0,3.433333,1,-1,0
1,4.7,0,-1,1
0,4.15,0,3,0
1,5.633333,0,0,1
1,8,0,0,0
1,2.966667,0,0,0
0,2.033333,0,-1,1
1,2.466667,0,-1,0
0,16.68333,0,1,1
1,6.116667,0,-1,0
1,5,0,2,0
0,4.383333,0,-1,0
1,3.533333,0,-1,1
1,2.566667,1,-2,1
1,6.533333,0,-1,1
0,1.416667,1,0,0
0,3.7,1,0,0
1,8.933333,1,0,0
1,4.433333,1,-2,0
0,7.45,0,2,0
0,1.516667,0,-1,0
0,7.366667,0,-1,0
0,7.95,1,3,1
1,1.916667,1,-3,1
1,3.666667,1,-3,1
1,5.366667,1,0,0
1,2.566667,0,-2,1
1,3,1,1,0
0,7.15,0,1,1
1,5.516667,1,-1,0
1,1.483333,1,4,1
0,2.4,0,1,0
0,2.283333,0,-4,0
1,12.7,0,2,0
1,5.433333,0,-1,0
0,8.116667,1,-1,0
0,0.6666667,0,0,0
1,5.85,0,-2,0
1,4.816667,1,-2,1
1,3.45,0,1,0
0,5.483333,1,1,0
0,9.95,1,1,0
0,3.366667,0,4,0
1,3.55,1,2,1
0,10.93333,1,1,1
1,14.3,1,-1,1
0,5.8,1,1,0
1,4.05,1,-1,0
0,3.366667,1,-3,1
1,4.5,1,-2,1
1,2.35,0,0,0
0,2.833333,1,1,0
0,24.26667,0,1,0
1,2.916667,1,-1,1
1,1.266667,1,0,0
1,25.18333,1,0,1
0,5.216667,1,1,0
1,1.65,0,1,0
1,2.283333,0,1,0
1,15.38333,1,-2,0
1,3.6,1,-1,0
1,4.866667,0,-3,1
1,7.55,1,-1,0
1,1.75,1,0,1
0,0.9666667,0,1,1
1,4.283333,1,0,0
1,11.26667,1,-1,1
1,1.666667,0,1,1
0,5.933333,0,-1,0
0,7.816667,1,-3,0
1,7.283333,0,1,1
0,0.4333333,0,0,0
1,2.833333,0,-1,0
0,12.95,0,1,1
0,12.78333,1,3,0
0,10.5,0,-1,0
1,8.866667,0,0,1
0,0.9666667,1,2,0
0,4.916667,1,-2,0
0,9.933333,0,1,0
1,5.616667,1,2,1
0,14.33333,0,-3,1
0,1.166667,1,-2,0
1,3,0,-1,0
0,8.266667,0,1,1
1,8.416667,1,-4,0
0,3.683333,1,-1,0
1,2.65,1,2,0
1,4.566667,0,0,1
1,2.466667,0,-1,0
1,8.3,1,2,0
1,0.85,1,-1,0
0,3.383333,0,-3,0
1,0.5166667,0,-2,1
1,2.8,0,0,0
0,4.5,0,3,1
1,0.15,0,0,1
1,4.333333,1,2,1
1,8.45,0,-1,0
0,3.95,1,3,0
0,3.1,1,1,0
1,11.56667,1,0,0
1,18.6,1,0,0
1,10.2,0,-3,0
1,3.733333,1,-1,1
1,1.35,0,0,0
0,4.566667,0,-1,1
1,6.733333,1,-3,1
0,7.916667,1,1,0
1,3.366667,1,1,1
1,4.1,1,0,0
0,9.3,1,1,0
0,2.983333,1,1,0
1,3.216667,0,0,1
0,9.583333,0,-1,0
1,8.016667,1,-1,0
0,2.833333,0,1,0
0,22.81667,0,0,0
0,13.86667,0,0,0
1,2.483333,1,1,1
1,4.85,0,0,0
1,1.116667,1,1,0
0,13.3,0,-4,0
1,12.53333,1,2,0
1,3.383333,1,0,0
1,7.266667,0,-1,0
1,1.4,1,0,0
0,12.6,0,0,1
1,1.3,0,0,0
0,4.05,0,1,1
0,24.48333,0,0,0
0,11.63333,0,-1,1
1,16.08333,0,-3,0
1,2.683333,0,1,0
0,3.116667,0,0,0
0,3.316667,1,1,0
0,3.55,1,1,0
0,2.133333,1,1,0
0,5.25,0,-1,0
1,18.9,0,-3,0
1,19.76667,0,1,1
0,0.15,0,0,0
0,4.05,1,0,0
1,5.233333,0,-1,1
1,2.066667,1,1,1
0,2.966667,1,0,0
0,1.65,1,-2,0
0,11,1,-1,1
1,11.91667,1,0,0
0,11.61667,0,-1,1
0,4.7,1,-2,0
0,4.433333,0,2,1
0,7.05,1,0,1
1,10.48333,1,0,0
1,3.033333,0,1,1
1,6.533333,0,0,1
1,5.183333,0,0,0
1,1.6,1,-1,0
1,6.233333,0,6,0
0,3.95,0,-3,0
1,23.61667,0,2,0
0,2.883333,1,-1,0
1,1.95,1,3,0
1,9.233333,0,-1,0
0,5.45,0,2,0
1,6.916667,1,2,1
1,21.53333,1,0,1
0,1.583333,1,-1,0
0,1.016667,1,0,1
0,2.516667,1,0,0
1,0.9833333,1,1,1
1,0.9333333,1,-1,1
1,3.716667,0,-4,1
0,6.966667,0,0,0
1,15.98333,1,1,1
1,7.066667,0,1,1
1,4.916667,0,3,1
0,6.966667,1,-2,0
0,17.3,0,4,0
1,15.08333,1,-4,0
1,2.233333,0,-2,0
0,3.6,0,0,1
0,4.183333,1,0,0
1,7.016667,1,1,0
1,3.966667,0,1,1
0,1.633333,0,-2,0
1,19.76667,0,0,1
0,0.4833333,1,0,0
0,3.133333,0,-1,1
0,19.96667,1,3,0
0,4.683333,1,2,0
1,0.8333333,0,1,0
0,5.883333,1,-2,0
0,7.166667,1,2,1
0,6.133333,0,2,0
0,14.7,0,1,0
0,7.883333,0,0,0
0,10.56667,1,-1,0
1,13.48333,0,-2,1
1,6.65,1,2,0
1,1,0,3,1
1,2.25,1,3,1
1,2.566667,0,1,1
1,1.616667,1,-3,0
1,8.7,1,1,0
1,5.4,1,1,0
0,3.516667,1,1,0
1,2.316667,1,4,1
0,15.7,1,-1,1
1,2,0,1,1
1,1.366667,0,-1,0
0,2.666667,1,0,1
0,1.1,0,-1,0
1,6.066667,0,-3,1
1,3.916667,0,0,0
1,0.75,0,-1,1
0,2.85,1,0,1
0,2,0,0,0
1,6.6,0,4,0
1,2.216667,1,0,0
0,1.2,1,4,1
0,1.433333,0,-2,1
1,2.816667,0,-1,0
0,2.166667,1,3,0
0,14.03333,0,-1,1
0,1.133333,1,-2,0
1,1.033333,1,-2,1
1,1.7,1,-1,0
0,10.8,1,4,0
0,0.95,1,0,0
1,3.133333,1,-2,1
0,2.066667,0,-1,1
1,3.266667,1,-2,0
0,4,0,-1,1
0,7.033333,1,-2,0
0,5.066667,0,-1,0
1,2.85,1,-2,1
1,2.416667,1,1,0
0,4.716667,1,1,1
1,2.25,1,1,0
1,12.35,0,-4,0
1,5.966667,0,-1,0
0,3.65,0,-1,0
1,6.866667,0,2,0
1,4.166667,1,0,0
1,1.766667,0,1,0
1,1.266667,1,0,1
0,2.566667,0,2,0
0,27.71667,1,3,0
0,1.966667,1,0,0
0,6.366667,0,-1,0
1,1.566667,0,0,0
1,5.916667,0,-2,1
1,8.616667,0,2,1
1,23.48333,0,-2,0
1,4.666667,0,1,1
1,4.25,1,1,0
1,1.233333,0,0,0
1,0.4333333,1,1,0
1,4.3,1,1,1
1,3.85,1,-2,0
0,10.93333,1,-1,0
0,13.93333,0,0,1
0,0.45,0,-1,0
1,2.616667,0,-3,0
0,16.7,0,1,1
0,0.1666667,1,2,1
1,6.983333,1,1,1
0,2,0,-1,1
1,6.1,0,0,0
1,4.983333,0,0,0
1,0.7666667,1,-2,0
0,12.51667,0,4,0
1,2.516667,1,0,1
0,3.983333,0,-3,0
1,1.283333,0,0,1
0,5.816667,1,-3,0
1,9.216667,1,-2,1
1,1.05,0,1,1
0,1.3,1,2,1
0,6.116667,0,0,0
0,5.516667,1,1,0
0,9.233333,0,-1,0
1,4.533333,1,2,1
0,12.98333,1,0,0
0,15.25,0,0,0
0,1.65,0,1,0
0,1.816667,1,0,0
0,1.933333,0,1,0
0,1.466667,0,0,0
0,5.016667,0,3,1
0,7.733333,1,1,0
0,2.35,1,1,0
1,1.433333,0,0,1
1,1.15,0,1,0
1,7.633333,1,1,0
1,9.133333,0,0,1
1,6.083333,0,-2,1
1,4.3,0,1,0
1,1.233333,1,-4,0
0,5.05,0,-3,0
0,3.183333,0,0,1
1,4.15,0,0,1
0,3.816667,0,-1,0
0,2.8,1,1,0
1,25.18333,1,0,1
1,5.116667,1,-2,0
0,1.083333,0,0,0
1,2.95,1,0,0
0,6.483333,0,0,0
0,3.883333,0,3,0
1,4.266667,0,-1,1
1,15.63333,0,-1,0
1,1.316667,0,-6,0
1,0.9333333,0,-1,1
1,3.05,1,-4,0
0,5.766667,1,3,0
1,1.733333,1,0,0
1,4,0,4,0
1,6.716667,0,-1,0
1,5.983333,0,1,0
0,2.65,0,1,0
0,5.966667,0,-1,1
0,5,0,2,0
1,7.333333,1,-1,0
0,8.766667,1,2,0
1,0.2166667,0,0,0
0,8.716667,0,-1,1
1,10.91667,1,-1,0
0,2.616667,0,2,1
1,2.666667,1,4,0
0,7.45,1,-2,1
1,6.2,0,1,1
1,6.516667,0,0,1
1,1.433333,0,0,1
1,2.633333,1,-1,1
1,1.983333,0,-1,0
1,7.266667,1,0,1
1,4.7,1,-1,1
0,6.6,1,-1,0
0,0.8333333,0,-2,0
0,2.05,0,-1,1
1,0.6166667,1,2,0
1,21.2,1,3,1
1,9.383333,0,2,1
1,7.133333,1,1,0
1,6.316667,1,-3,0
0,0.9166667,1,-1,0
0,4,0,-1,0
1,2.066667,0,0,0
1,10.96667,1,0,0
1,3.833333,1,-2,1
0,4.25,1,3,0
1,19.33333,1,-1,0
1,2.95,0,2,0
1,0.9666667,0,2,1
1,4.583333,0,-1,0
1,2.8,1,-1,0
1,9.416667,0,-3,0
1,0.9166667,0,-1,1
1,0.3,1,1,0
0,6.133333,1,-1,0
1,0.4166667,0,-1,1
0,1.216667,1,1,0
1,1.366667,0,0,0
1,15.91667,1,-2,0
1,2.2,0,3,1
0,10.21667,1,3,1
0,9.55,0,0,1
1,11.23333,1,1,1
0,6.85,0,0,0
0,0.4333333,0,-1,1
1,8.933333,0,0,1
1,10.06667,0,-3,1
0,0.4833333,1,2,1
1,6.55,0,-1,0
1,12.16667,1,-4,0
0,2.55,1,1,1
0,1.683333,1,1,1
1,0.1833333,0,0,0
1,2.65,0,-1,1
0,0.7666667,0,-2,1
0,3.683333,1,0,1
0,3.883333,1,0,0
1,3.633333,0,2,0
1,8.283333,0,1,1
1,2.583333,0,-1,1
0,5.416667,1,0,1
0,3.216667,1,3,0
0,1.483333,0,0,0
1,1.35,0,-3,1
0,8.7,0,0,1
0,4.1,1,0,0
1,1.016667,1,-2,1
1,1.616667,0,1,0
1,6.383333,1,1,1
1,6.016667,1,5,1
1,12.36667,0,-2,0
1,16.83333,1,-1,0
1,2.9,1,-2,0
1,5.666667,1,1,0
1,7.1,0,-5,1
0,6.383333,1,1,0
0,4.45,0,1,0
1,4.133333,1,0,0
0,9.1,0,0,0
1,3.216667,0,-1,1
1,11.01667,1,2,0
1,1.766667,0,-1,0
1,0.5833333,1,3,0
1,10.66667,0,0,0
0,7.75,0,1,1
1,4.333333,0,0,0
0,0.5833333,1,-1,0
0,2.016667,0,-3,1
0,7.65,1,3,0
1,2.683333,1,-1,1
0,15.66667,1,2,1
1,6.366667,0,-2,1
0,2.533333,0,-2,0
0,8.783333,1,-2,0
0,5.233333,0,3,0
1,4.066667,1,2,0
1,1.683333,0,2,1
0,2.616667,0,1,0
1,9.133333,1,1,0
1,1.75,0,1,1
1,0.9666667,0,-2,0
0,1.85,1,1,0
1,0.7333333,1,-5,1
1,2.283333,0,-2,0
0,0.2333333,0,1,1
1,1.366667,1,0,0
0,13.96667,1,-1,0
0,4.816667,0,2,1
0,9.166667,1,-1,0
1,4.283333,1,-1,1
1,5.066667,0,1,0
1,4.716667,1,0,1
1,5.216667,1,1,1
0,5.6,1,0,0
1,5,1,-5,0
0,4.066667,0,0,1
1,4,0,0,0
1,5.016667,0,0,1
1,2.866667,1,0,0
1,4.366667,0,0,1
1,10.65,0,0,1
1,14.05,1,0,0
0,2.116667,1,0,0
0,1.483333,1,1,0
1,4.616667,0,-2,0
0,3.516667,1,1,0
0,12,0,1,0
1,7.083333,1,4,0
1,6.966667,0,2,1
1,2.516667,1,-2,1
1,2.816667,1,0,0
1,3.1,0,0,0
0,2.983333,1,-1,1
1,4.666667,0,1,0
1,1.933333,0,0,1
1,4.75,0,0,0
0,1.816667,0,1,0
1,3.233333,0,1,0
1,7.083333,1,0,1
1,2.166667,1,0,0
0,10.88333,0,-3,1
1,3.416667,1,0,1
0,12.43333,0,-1,0
1,2.4,1,1,0
1,3.1,0,0,0
0,9.15,0,-1,1
1,4.3,1,1,0
0,2.6,1,1,0
0,19.75,1,2,0
0,22.48333,0,-1,0
0,7.083333,0,-1,1
0,7.25,1,1,0
1,9,1,-1,0
1,3.466667,0,1,1
1,6,1,1,0
1,0.4833333,0,0,1
1,3.316667,0,0,0
1,7.633333,0,1,0
0,10.06667,0,1,1
1,7.083333,1,0,1
1,2.283333,0,1,1
0,3.266667,0,-1,0
1,1.616667,0,0,1
0,9.566667,0,0,0
0,5.133333,0,1,0
0,11.4,1,2,0
0,7.8,0,-3,0
1,7.9,1,-1,0
1,5.033333,0,0,1
1,3.833333,0,-3,1
1,1.9,0,1,0
1,8.266667,1,-1,0
0,18.71667,0,3,1
0,2.85,0,0,0
1,3.666667,1,0,1
1,8.933333,0,0,1
1,3.066667,1,1,0
1,4.833333,1,0,0
0,12.8,0,1,1
1,4.583333,0,-2,0
0,4.833333,1,0,0
0,7.266667,1,0,0
1,2.333333,0,1,0
0,4.266667,0,-2,1
1,8.8,0,0,1
1,3.483333,1,1,0
1,5,1,3,0
0,6.333333,0,0,1
0,13.5,0,1,0
1,6.9,0,0,0
1,0.06666667,0,0,1
0,7.233333,0,1,0
1,3.566667,0,2,1
0,0.2,1,1,0
0,3.5,1,-1,1
1,15.06667,1,3,0
1,6.883333,1,1,0
1,19.1,1,1,1
1,11.38333,1,-2,0
1,4.6,1,-1,0
0,11.03333,0,-2,0
1,2.783333,0,-3,0
0,1.216667,1,1,0
1,4.883333,0,1,0
1,1.616667,1,2,1
1,9.133333,0,-2,1
0,3.416667,1,-1,1
1,1.716667,0,1,1
1,9.133333,1,-1,1
1,3.133333,1,-2,1
1,3.216667,0,-1,1
1,1.766667,0,-2,0
1,6.066667,0,0,1
0,2.7,1,0,0
1,3.883333,1,-2,1
0,8.883333,1,6,0
0,2.116667,0,-1,0
1,5.766667,1,1,0
1,7.233333,1,-1,1
1,3.016667,1,2,0
1,4.983333,1,-1,0
1,0.4833333,0,0,0
1,5.566667,0,-2,0
1,4.166667,0,-2,1
1,18.61667,1,-2,1
1,3.25,1,1,1
1,0.2333333,0,0,0
1,7.9,1,0,0
1,7.966667,0,-1,1
0,7.366667,1,1,0
1,4.9,0,3,0
1,7.116667,1,0,0
1,2.05,1,-1,1
0,9.116667,0,0,0
1,2.733333,1,1,1
0,6.133333,1,1,0
1,2.866667,0,0,1
1,0.5333333,1,4,1
0,0.75,1,3,1
0,8.783333,0,0,0
0,4.683333,0,0,1
1,0.6333333,0,0,1
0,2.45,1,2,0
0,3.333333,1,1,0
1,5.783333,1,0,0
1,2.8,1,-4,1
1,2.75,0,-1,0
1,1.333333,0,0,0
1,2.15,1,0,1
1,28.18333,1,3,1
1,5.783333,0,0,0
1,3.5,0,0,0
1,3.583333,1,-3,1
0,2.783333,1,1,0
1,0.9333333,1,1,0
1,4.683333,0,2,0
0,12.08333,0,0,1
1,8.4,1,2,1
1,2.183333,1,0,0
1,3.95,1,0,0
1,13.23333,1,-1,0
0,15.48333,1,2,0
1,2.05,1,3,0
1,7.983333,0,-4,0
0,4.233333,1,0,0
1,0.65,0,3,1
0,2.066667,0,3,1
0,5.716667,0,3,0
1,2.6,0,-1,0
1,4.483333,1,2,0
1,0.8833333,1,1,1
1,3.566667,0,0,1
1,11.91667,1,-1,0
1,9.15,1,1,1
0,25.05,1,0,0
0,11.71667,1,2,0
1,4.45,1,-4,1
1,3.95,1,1,0
1,3.7,0,0,0
0,2.733333,0,-2,1
0,1.166667,0,1,0
1,12.5,1,0,0
1,2.333333,1,-1,1
1,4.216667,1,0,1
0,2.366667,0,1,0
0,7.3,0,-1,0
1,4.183333,0,-2,0
1,6.616667,1,-1,1
1,0.9666667,1,1,1
1,10.58333,1,-4,0
0,0.2,1,3,0
0,9.55,1,3,0
1,3.316667,0,0,0
0,3.366667,0,2,0
0,13.91667,1,0,0
1,3.75,0,1,0
1,13.55,1,1,0
0,11.56667,0,1,1
0,9.7,0,-1,0
1,2.95,0,0,0
0,0.6666667,0,0,0
1,0.05,1,1,0
1,2.35,1,-3,1
1,6.116667,0,2,1
0,6.716667,1,-3,0
1,2.866667,0,-1,0
1,6.266667,0,-3,0
1,14.05,1,2,0
1,12.41667,0,1,0
0,6.516667,0,0,0
1,4.183333,0,-1,0
0,11.9,0,-1,1
1,3.916667,1,2,0
0,11.75,0,0,1
1,1.45,1,0,0
1,3.85,0,-1,0
1,5.133333,0,0,1
1,7.066667,0,-1,0
1,2.233333,1,2,1
1,3.883333,1,-1,0
0,19.11667,0,2,0
1,6.8,0,0,0
0,3,0,-2,0
0,5.05,0,0,0
1,4.1,0,0,1
1,6.266667,1,0,0
0,5.1,1,-1,0
1,1.833333,1,-2,0
1,4.45,1,1,0
1,7.533333,1,1,0
0,2.866667,0,0,1
0,4.2,1,1,0
0,1.333333,0,1,0
0,2.983333,1,0,0
0,3.5,1,3,0
1,14.71667,0,1,0
1,1.866667,0,-2,0
1,1.35,1,-1,0
0,5.683333,0,-2,0
1,2.95,1,0,1
0,9.65,1,1,0
1,5.7,0,1,1
1,5.1,1,1,1
1,9,0,1,1
1,2.7,0,-1,0
1,2.216667,1,2,1
1,7.15,0,-1,0
1,6.983333,1,0,1
1,1.266667,1,-2,1
1,3.766667,0,-2,0
1,2.116667,1,0,0
0,2.783333,1,0,1
1,2.75,1,2,1
1,2.916667,1,-3,1
1,15.93333,1,0,0
0,3.416667,0,-1,0
1,7.766667,0,-1,0
0,5.916667,1,0,0
0,6.983333,1,1,0
0,9.516667,0,1,1
1,7.25,0,0,1
1,3.083333,1,0,0
1,1.933333,0,-2,0
0,5.266667,1,1,0
1,2.216667,1,4,0
0,5.316667,0,-1,0
0,3.866667,1,-2,0
0,8.916667,0,-1,1
1,7.633333,0,-3,1
0,1.016667,1,1,0
0,7.283333,1,0,0
0,0.55,0,-1,0
1,2.95,0,-4,0
1,2.6,1,-1,1
0,2.3,0,-2,1
0,1.133333,1,1,1
1,1.4,1,-1,0
0,1.566667,0,1,1
0,5.083333,0,1,0
1,2.166667,0,0,0
0,2.35,0,1,0
0,8.916667,0,6,0
0,5.2,1,0,0
1,7.183333,1,0,0
1,1.116667,1,-3,0
1,12.73333,1,-1,0
0,4.166667,0,1,0
0,2.033333,1,3,0
0,4.366667,0,-2,1
1,3.983333,0,-1,0
0,0.9833333,0,0,0
1,2.416667,0,1,1
1,6.1,1,-3,1
0,1.016667,0,0,0
0,20.15,0,1,0
0,1.616667,0,1,0
0,1.483333,0,-1,0
1,0.7,1,1,1
0,12.36667,1,1,0
0,1.6,0,1,0
